,dt,channel,username,message,neg,neu,pos,compound
1785,2021-05-01 18:57:37,doublelift,adaptmfer,Smoge remember when doublelift played Poppy?,0.0,0.676,0.324,0.34
1786,2021-05-01 18:57:38,doublelift,asken_0,if hed missed that KEKW,0.355,0.645,0.0,-0.296
1787,2021-05-01 18:57:43,doublelift,nordmann247,DID THE WALL JUST YOINK THAT TRESH?,0.0,1.0,0.0,0.0
1788,2021-05-01 18:57:49,doublelift,import_antigrvty,@Orgasmal why do you say that.  I think they're fine.  It's just that they're in chicago and far from everyone,0.0,0.913,0.087,0.2023
1789,2021-05-01 18:57:53,doublelift,darkharbringer609,League servers dog,0.0,1.0,0.0,0.0
1790,2021-05-01 18:58:04,doublelift,paul_the_iii,poppy dmg i guess? does max HP,0.0,1.0,0.0,0.0
1791,2021-05-01 18:58:09,doublelift,indogingigi,XD,0.0,0.0,1.0,0.5859
1792,2021-05-01 18:58:10,doublelift,qmimicq,ahri not going no dmg cdr build pog,0.0,0.607,0.393,0.4382
1793,2021-05-01 18:58:12,doublelift,moogleg,spell shield LUL,0.0,1.0,0.0,0.0
1794,2021-05-01 18:58:15,doublelift,orgasmal,@import_antigrvty they have really low tickrate,0.324,0.676,0.0,-0.3384
1795,2021-05-01 18:58:16,doublelift,adaptmfer,Smoge,0.0,1.0,0.0,0.0
1796,2021-05-01 18:58:17,doublelift,gorpmeat,riven 3.5 item as well,0.0,0.656,0.344,0.2732
1797,2021-05-01 18:58:21,doublelift,porko2,he has to be trolling at this point KEKW,0.0,1.0,0.0,0.0
1798,2021-05-01 18:58:22,doublelift,adimininastr0,Sadge,1.0,0.0,0.0,-0.25
1799,2021-05-01 18:58:25,doublelift,hd_jank,getting ready for summer,0.0,0.545,0.455,0.3612
1800,2021-05-01 18:58:27,doublelift,mrdonut89,KEKW,0.0,1.0,0.0,0.0
1801,2021-05-01 18:58:27,doublelift,thegamingorange,adc life Smoge,0.0,1.0,0.0,0.0
1802,2021-05-01 18:58:28,doublelift,sasukinho13,riven so big,0.0,1.0,0.0,0.0
1803,2021-05-01 18:58:30,doublelift,seriousrising,He’s dodging nothing,0.412,0.588,0.0,-0.1027
1804,2021-05-01 18:58:30,doublelift,yiankes54,shouldn't be 20-40 difference in ping just because of where you live,0.0,1.0,0.0,0.0
1805,2021-05-01 18:58:30,doublelift,rozkie,report Kappa,0.0,1.0,0.0,0.0
1806,2021-05-01 18:58:35,doublelift,tokenblck,LUL,0.0,1.0,0.0,0.0
1807,2021-05-01 18:58:36,doublelift,matiasnasr,TACTICAAAAAAAAAAAAAAL,0.0,1.0,0.0,0.0
1808,2021-05-01 18:58:36,doublelift,adaptmfer,POGGERS he hit it,0.0,0.523,0.477,0.4084
1809,2021-05-01 18:58:38,doublelift,yuyuyuna,tbf this game has been ultra fucked for him,0.355,0.645,0.0,-0.6597
1810,2021-05-01 18:58:40,doublelift,not_so_goblet,what song is this?,0.0,1.0,0.0,0.0
1811,2021-05-01 18:58:41,doublelift,mystermato,can the real inter please stand up,0.0,0.723,0.277,0.3182
1812,2021-05-01 18:58:46,doublelift,theclemstar,does it feel good that your replacement is a dirty inter doubleplug?,0.184,0.633,0.184,0.0
1813,2021-05-01 18:58:51,doublelift,adaptmfer,POGGERS,0.0,0.0,1.0,0.25
