dt,channel,username,message
2021-04-27 18:34:25,loltyler1,sad_filipino,BigBrother TEST IT BigBrother TEST IT BigBrother TEST IT BigBrother TEST IT BigBrother TEST IT BigBrother TEST IT BigBrother TEST IT BigBrother TEST IT
2021-04-27 18:34:26,loltyler1,water_is__good,Kapp good
2021-04-27 18:34:28,loltyler1,strowgent,too real Sadge
2021-04-27 18:34:29,loltyler1,julio123nitsh,KKona
2021-04-27 18:34:31,loltyler1,firga4,PauseChamp
2021-04-27 18:34:32,loltyler1,maxx_ezz,????????????????????????
2021-04-27 18:34:34,loltyler1,kaiba5489,no shot OMEGALUL
2021-04-27 18:34:35,loltyler1,micctw,PauseChamp
2021-04-27 18:34:37,loltyler1,veganismz,KEKW
2021-04-27 18:34:38,loltyler1,babyeater99,5Head
2021-04-27 18:34:39,loltyler1,macaiyla,PauseChamp
2021-04-27 18:34:41,loltyler1,as3cknsolo,PepeLaugh
2021-04-27 18:34:42,loltyler1,caapitanmuslito,RUSH NASHOR
2021-04-27 18:34:44,loltyler1,denzthepro,EZ Clap
2021-04-27 18:34:45,loltyler1,lachlan7829,Pog
2021-04-27 18:34:46,loltyler1,unexcused,NOW AY
2021-04-27 18:34:47,loltyler1,ewolly,KEKW
2021-04-27 18:34:47,loltyler1,tamedturtles,WTF
2021-04-27 18:34:47,loltyler1,macaiyla,PauseChamp
2021-04-27 18:34:48,loltyler1,hazek_,PogU
2021-04-27 18:34:48,loltyler1,galadriel2262,lmao
2021-04-27 18:34:48,loltyler1,na_baboon,FLIP PogU
2021-04-27 18:34:48,loltyler1,hmoobshmoob,Pog
2021-04-27 18:34:48,loltyler1,sfruit,KEKW NA
2021-04-27 18:34:48,loltyler1,trxstns,HELL YES Pog
2021-04-27 18:34:49,loltyler1,pargolo_di_giuseppe,Pog
2021-04-27 18:34:49,loltyler1,babyeater99,PogU
2021-04-27 18:34:49,loltyler1,qeberq,PogU
2021-04-27 18:34:51,loltyler1,macaiyla,omg
2021-04-27 18:34:52,loltyler1,spedmow,KEKW
2021-04-27 18:34:53,loltyler1,hazem2555,FLASH???
2021-04-27 18:34:54,loltyler1,unexcused,WTF THAT WORKED Pog
2021-04-27 18:34:57,loltyler1,macaiyla,wtf PogYou
2021-04-27 18:34:58,loltyler1,dr_devilcs,KEKW
2021-04-27 18:34:59,loltyler1,kaiba5489,katevolved so bad off kat OMEGALUL
2021-04-27 18:35:01,loltyler1,raunosaul,KEKW
2021-04-27 18:35:01,loltyler1,spedmow,PogYou
2021-04-27 18:35:01,loltyler1,themoxbox,BARON Pog
2021-04-27 18:35:01,loltyler1,sonicsack1,ç????????????
2021-04-27 18:35:02,loltyler1,slimebelge,WORTH
2021-04-27 18:35:03,loltyler1,kresos007,KEWK LUL
2021-04-27 18:35:05,loltyler1,mcsweatyspaghetti,PogU
2021-04-27 18:35:06,loltyler1,dr_ownsalot,unironically worth
2021-04-27 18:35:07,loltyler1,leoh92,THEYRE GHOSTING
2021-04-27 18:35:08,loltyler1,chucksta,WORTH WORTH WORTH
2021-04-27 18:35:10,loltyler1,firga4,TARDY monkerS
2021-04-27 18:35:11,loltyler1,horsesaredumb,EZclap
2021-04-27 18:35:13,loltyler1,unfazedplayer,ACTUALLY GHOSTING WHAT A PIECE OF SHIT LOL
2021-04-27 18:35:13,loltyler1,mr__sj,LUL
2021-04-27 18:35:13,loltyler1,horsesaredumb,EZClap
2021-04-27 18:35:14,loltyler1,denzthepro,DONT FIGHT IDIOTS monkaW
2021-04-27 18:35:14,loltyler1,zboarts,Clap
2021-04-27 18:35:15,loltyler1,monsterashoe,NERF HEIMER LETS GOOO
2021-04-27 18:35:15,loltyler1,firga4,monkaW 3v4
2021-04-27 18:35:15,loltyler1,chowder1h,akali +800 = fine KEKW
2021-04-27 18:35:15,loltyler1,nutzz111,LUL LUL
2021-04-27 18:35:16,loltyler1,macaiyla,why does tardy sound sad Sadge
2021-04-27 18:35:16,loltyler1,wil83601,worth i guess
2021-04-27 18:35:16,loltyler1,amart999,hec ahs R
2021-04-27 18:35:16,loltyler1,aiden0709,Clap
2021-04-27 18:35:16,loltyler1,themoxbox,50/50 Pog
2021-04-27 18:35:16,loltyler1,vvphaim,Clap
2021-04-27 18:35:17,loltyler1,cnkichigo,tarzaned gonna throw
2021-04-27 18:35:17,loltyler1,anonymousz__,GHOSTING IN SCRIMS KEKW
2021-04-27 18:35:18,loltyler1,cr1s2,what was the point of that call baron doesnt do anything now...
2021-04-27 18:35:18,loltyler1,trexjohnson10,Thats why they're nerfing heimer
2021-04-27 18:35:19,loltyler1,yicketty,Ghosting for sure btw
2021-04-27 18:35:19,loltyler1,abdo_mai,you think it's worth ?
2021-04-27 18:35:19,loltyler1,optimallol,CHAT Pepega
2021-04-27 18:35:19,loltyler1,horsesaredumb,Clap
2021-04-27 18:35:21,loltyler1,somedylhole,20 sec KEKW
2021-04-27 18:35:21,loltyler1,gimpymclimp,So heimer melted baron with 1 item???? BALANCE? RIOT?
2021-04-27 18:35:21,loltyler1,ragnarokmachina,Top gap gg
