id,dt,channel,username,message,neg,neu,pos,compound
219,5/1/2021 17:52,doublelift,zoroporo,are u feeling ok DL ?,0,0.519,0.481,0.4019
220,5/1/2021 17:52,doublelift,nahdawgdataintme,Those don't work if she never farms,0,1,0,0
221,5/1/2021 17:52,doublelift,gorpmeat,Always one jungler always getting fed,0,1,0,0
222,5/1/2021 17:52,doublelift,god_of_sleep_,liftP liftP liftP liftP,0,1,0,0
223,5/1/2021 17:52,doublelift,beasttings,eve being a thot as per usual,0,1,0,0
224,5/1/2021 17:52,doublelift,outsmited_,are you going to play PoE later ?,0,0.745,0.255,0.34
225,5/1/2021 17:52,doublelift,god_of_sleep_,it hurts i will slap a bitch,0.552,0.32,0.128,-0.743
226,5/1/2021 17:52,doublelift,mabroorahemd123,no announcer sound,0.524,0.476,0,-0.296
227,5/1/2021 17:52,doublelift,mattdoeslol,just ward evelyn camps or use pinks and she is useless,0.219,0.781,0,-0.4215
228,5/1/2021 17:53,doublelift,kirbuus,Summoner's name is shown Kappa,0,1,0,0
229,5/1/2021 17:53,doublelift,paul_the_iii,can ADCs ever fit Hexdrinker into their build?,0,0.737,0.263,0.3612
230,5/1/2021 17:53,doublelift,asken_0,4Head,0,1,0,0
231,5/1/2021 17:53,doublelift,shimadasage,Morg is playing like a scrub,0,0.482,0.518,0.5106
232,5/1/2021 17:53,doublelift,mangosnap,akali will carry with shutdown gold COPIUM,0,1,0,0
233,5/1/2021 17:53,doublelift,witam503,@Doublelift yo sex legend monster king CurseLit,0,1,0,0
234,5/1/2021 17:53,doublelift,alexkxo,!rank,0,1,0,0
235,5/1/2021 17:53,doublelift,nightbot,Doublelift's current rank: Challenger I || Peng Yiliang's current rank: Master I,0,0.88,0.12,0.128
236,5/1/2021 17:53,doublelift,dooniex,@Doublelift what build did you play this Poe league,0,0.769,0.231,0.34
237,5/1/2021 17:53,doublelift,sheeponater2,AbdulPls,0,1,0,0
238,5/1/2021 17:53,doublelift,taikyoon,catJAM,0,1,0,0
239,5/1/2021 17:53,doublelift,infintt,Dance,0,1,0,0
240,5/1/2021 17:53,doublelift,crackerslap,catJAM,0,1,0,0
241,5/1/2021 17:53,doublelift,itsjustvalk,FeelsRareMan,0,1,0,0
242,5/1/2021 17:53,doublelift,aziz050,FeelsRareMan,0,1,0,0
243,5/1/2021 17:53,doublelift,sheeponater2,ABDULpls,0,1,0,0
244,5/1/2021 17:53,doublelift,dizzyfoxiguess,catJAM,0,1,0,0
245,5/1/2021 17:53,doublelift,izkuroi,@Paul_the_III DL says maw of malmortius is an awful item and you'd be better off going mercurial,0.144,0.718,0.139,-0.0258
246,5/1/2021 17:53,doublelift,einergednochson,!playlist,0,1,0,0
247,5/1/2021 17:53,doublelift,nightbot,This: goo.gl/Lt6Vjk and That: goo.gl/WEU25P also this: https://www.youtube.com/watch?v=GZgoXPybYOY,0,1,0,0
248,5/1/2021 17:54,doublelift,witam503,Lucky crit CS Pepega,0,0.517,0.483,0.4215
249,5/1/2021 17:54,doublelift,duladen,does vision really matter against an eve?,0,0.596,0.404,0.3384
